"","x"
"1109",1461.57977
"1110",1461.58445
"1111",1461.58445
"1112",1461.62538
"1113",1461.93577
"1114",1462.40081
"1115",1463.95621
"1116",1463.95621
"1117",1465.50945
"1118",1465.70105
"1119",1466.28494
"1120",1467.0316
"1121",1467.066
"1122",1467.14316
"1123",1469.42662
"1124",1469.42662
"1125",1469.5748
"1126",1469.68101
"1127",1469.68101
"1128",1470.52374
"1129",1470.93653
"1130",1476.32016
"1131",1476.36762
"1132",1476.40235
"1133",1477.27683
"1134",1483.33275
"1135",1483.36182
"1136",1484.12739
"1137",1484.16608
"1138",1484.19315
"1139",1485.17251
"1140",1487.49558
"1141",1487.72754
"1142",1488.03391
"1143",1488.80999
"1144",1489.58707
"1145",1491.06327
"1146",1493.02806
"1147",1494.21662
"1148",1494.46677
"1149",1494.59154
"1150",1494.73359
"1151",1498.84672
