"","x"
"803",1281.52714
"804",1282.30197
"805",1283.0811
"806",1283.15489
"807",1283.33226
"808",1283.76986
"809",1283.92942
"810",1284.00388
"811",1284.44302
"812",1284.46588
"813",1285.32206
"814",1285.32206
"815",1285.32206
"816",1286.17849
"817",1286.17849
"818",1286.17905
"819",1286.43694
"820",1286.95387
"821",1287.72715
"822",1287.72968
"823",1288.87184
"824",1289.64898
"825",1292.38171
"826",1292.39036
"827",1292.46356
"828",1292.53677
"829",1292.87391
"830",1294.33474
"831",1295.91458
"832",1296.69101
"833",1296.94945
"834",1297.19049
"835",1298.85518
"836",1301.60022
"837",1304.6387
"838",1305.23726
"839",1306.19057
"840",1308.69321
"841",1309.46992
"842",1309.722
"843",1310.18552
"844",1310.24661
"845",1310.84651
"846",1313.35129
"847",1313.89222
"848",1314.00429
"849",1314.09236
"850",1314.19087
"851",1316.05729
"852",1316.38178
"853",1319.21998
"854",1319.68546
"855",1320.20615
"856",1320.25355
"857",1320.25355
"858",1322.53214
"859",1322.53214
"860",1322.5773
"861",1322.5773
"862",1322.62096
"863",1322.62096
"864",1324.89999
"865",1324.90322
"866",1324.99235
"867",1325.05381
"868",1325.11527
"869",1325.18476
"870",1325.83023
"871",1326.17015
"872",1326.49662
"873",1326.54449
"874",1329.90297
"875",1330.28323
"876",1330.28323
"877",1331.83339
"878",1331.86985
"879",1331.98378
"880",1332.81351
"881",1333.00866
"882",1333.14335
"883",1335.27723
"884",1338.96172
"885",1340.3588
"886",1340.38756
"887",1340.45075
"888",1340.77062
"889",1341.84284
"890",1341.90951
"891",1342.06619
"892",1343.97207
"893",1345.01002
"894",1345.01002
"895",1345.10248
"896",1345.8783
"897",1345.8783
"898",1345.94744
"899",1346.06129
"900",1346.49764
"901",1346.53754
"902",1346.58413
"903",1346.78031
"904",1347.90026
"905",1348.11117
"906",1348.13309
"907",1348.27536
"908",1349.05195
"909",1349.05195
"910",1349.16423
"911",1349.64101
"912",1349.88451
"913",1351.38062
"914",1352.28268
"915",1353.91102
"916",1353.96643
"917",1353.99982
"918",1355.18124
"919",1355.95691
"920",1357.07144
"921",1357.40006
"922",1357.64345
"923",1358.06483
"924",1358.47393
"925",1358.95173
"926",1362.10131
"927",1362.15945
"928",1362.15945
"929",1362.15945
"930",1362.15945
"931",1362.15945
"932",1362.15945
"933",1362.24658
"934",1362.24658
"935",1362.35372
"936",1362.65673
"937",1362.68833
"938",1362.84617
"939",1363.07601
"940",1365.8841
"941",1365.93325
"942",1366.03493
"943",1367.4885
"944",1367.58511
"945",1367.58511
"946",1368.18108
"947",1368.36019
"948",1369.22961
"949",1369.81412
"950",1369.91037
"951",1372.33295
"952",1372.52686
"953",1372.79016
"954",1372.91538
"955",1372.98473
"956",1373.01184
"957",1373.01184
"958",1374.14956
"959",1374.66
"960",1375.49009
"961",1376.0145
"962",1377.76349
"963",1378.29947
"964",1378.33922
"965",1378.53989
"966",1378.53989
"967",1379.89674
