"X064.EPK83_m_Mzb1_ESI.mzML";"X064.EPK88_m_Mzb1_ESI.mzML";"X064.EPK94_m_Mzb1_ESI.mzML";"X64Z.61012_m_WT_ESI.mzML";"X64Z.61014_m_WT_ESI.mzML";"X64Z.61015_m_WT_ESI.mzML"
"M133.08600T285.73755";0.154670850540731;1.0034559399792;-0.160691026176908;-0.0203643329204586;-0.522359667747473;-0.454711763675097
"M133.06507T1260.47994";-0.504515714313641;0.404707456241244;-0.193357310242876;0.436769453670115;-0.13904322025893;-0.00456066509592208
"M133.08602T146.03786";0.285940222883693;0.904310273338699;-0.207224229685059;0.00698029354866305;-0.560276285473931;-0.429730274612064
"M134.02730T215.53780";0.779791797785531;-0.297994866986027;-0.595619600117411;-0.355527569124766;0.316629898578025;0.152720339864648
"M134.06040T455.44961";-0.182140766337281;0.708225069628152;-1.9892494960243;0.0210902512393887;0.721037470747019;0.721037470747019
"M134.08938T235.68116";0.188893017815867;1.3478000899332;-0.0721783719341794;-0.0979065183368924;-1.14029027342882;-0.226317944049186
"M135.11664T836.35263";-0.955200822887886;-0.934125621295039;1.69083962353251;-0.635744922315433;-0.738453854129595;1.57268559709545
"M135.05531T157.88962";2.39246022369165;1.63761009298931;-1.97694447107223;-0.653303205672144;-0.164489080686074;-1.23533355925051
"M135.06369T236.54056";0.674144210027433;1.43871428699573;0.279763413858447;-0.570284141228554;-1.02992874103785;-0.792409028615214
"M136.03965T123.53850";-0.306803321920224;-0.260449606968978;-0.372937399862445;0.852713548972955;0.305638966144318;-0.21816218636564
"M136.06233T229.17940";0.624071186567701;-0.0988950526397617;0.819061754087928;0.747409655623969;-1.47636213894974;-0.61528540469009
"M136.06225T143.93946";-0.466200596129203;-0.804559044848276;-0.150189936953691;-0.171269905875639;-0.234714023609465;1.82693350741627
"M137.04621T140.84003";-1.81093310297034;0.524373966762193;0.152243203786521;-0.183352935202398;0.896169661279804;0.421499206344227
"M137.06471T229.10304";0.73789354049392;-0.220320495175528;0.776015371251827;0.732968935091502;-1.39089841606279;-0.635658935598923
"M138.04924T140.85352";-1.87231602315883;0.766665215604339;0.112642636775778;-0.262175623649867;0.92782158689858;0.327362207530008
"M138.12778T759.04352";0.797656988421066;-1.67330473487275;0.596972192298586;-0.146927577197292;-0.195814214651669;0.621417346002064
"M139.03965T712.56543";0.00977802706033512;1.00527569857075;-0.12080133070454;-0.626035187810716;-0.12080133070454;-0.147415876411291
"M139.11238T420.57971";-0.415536420696244;0.198836441476877;-1.98051508731939;1.64315919315639;0.742662647559639;-0.188606774177279
"M139.11257T685.01988";-0.260937979652234;0.511152602046445;-0.784717999099789;0.345030641207012;0.205079636033322;-0.0156069005347641
"M140.04954T233.82630";-0.0956644843595544;0.660964508443889;-0.880984544524512;-0.305707101498292;0.544347995277852;0.0770436266606164
"M140.08202T156.21829";0.54320095559106;0.85819988924451;-0.467814682008497;-0.80874080197325;0.631251207014625;-0.756096567868454
